L,Prompt_ID,Original_Message,Recovered_Message,Total_Bits,Correct_Bits,Undecided_Bits,Decided_Bits,Accuracy_Percent,Exact_Match
10,0,0101100100,⊥⊥011⊥0⊥00,10,6,4,6,60.0,False
10,1,1110100111,⊥1101⊥⊥⊥⊥⊥,10,4,6,4,40.0,False
10,2,1100011010,⊥⊥⊥⊥011⊥⊥⊥,10,3,7,3,30.0,False
10,3,1010010000,⊥⊥⊥⊥⊥1⊥0⊥0,10,3,7,3,30.0,False
10,4,1111100100,11111⊥⊥10⊥,10,7,3,7,70.0,False
10,5,0000010101,⊥000010⊥0⊥,10,7,3,7,70.0,False
10,6,0101100110,⊥⊥⊥1⊥⊥⊥1⊥⊥,10,2,8,2,20.0,False
10,7,0110111010,0⊥1⊥⊥⊥⊥010,10,5,5,5,50.0,False
10,8,1111000001,11⊥100⊥⊥01,10,7,3,7,70.0,False
10,9,0100101100,⊥⊥⊥⊥⊥⊥⊥⊥⊥⊥,10,0,10,0,0.0,False
10,10,1000011111,100001⊥⊥11,10,8,2,8,80.0,False
10,11,0011001001,⊥0⊥10⊥⊥⊥⊥⊥,10,3,7,3,30.0,False
10,12,1001000011,⊥001000011,10,9,1,9,90.0,False
10,13,0100101101,⊥1⊥⊥1⊥⊥101,10,5,5,5,50.0,False
10,14,0000100101,⊥⊥⊥⊥⊥⊥⊥⊥⊥⊥,10,0,10,0,0.0,False
10,15,0011000001,0011⊥00001,10,9,1,9,90.0,False
10,16,0111011100,01110⊥110⊥,10,8,2,8,80.0,False
10,17,1001100010,10⊥110⊥010,10,8,2,8,80.0,False
10,18,0111111010,⊥⊥1⊥1110⊥0,10,6,4,6,60.0,False
10,19,0101001011,0⊥01001011,10,9,1,9,90.0,False
10,20,0011100001,0011⊥000⊥⊥,10,7,3,7,70.0,False
10,21,1111010100,111⊥0⊥0100,10,8,2,8,80.0,False
10,22,1101111111,⊥⊥01111111,10,8,2,8,80.0,False
10,23,1111101101,1⊥⊥⊥⊥⊥⊥1⊥⊥,10,2,8,2,20.0,False
10,24,0110100011,⊥110100011,10,9,1,9,90.0,False
10,25,0011100100,0⊥1⊥⊥001⊥0,10,6,4,6,60.0,False
10,26,1010011111,10⊥001111⊥,10,8,2,8,80.0,False
10,27,0110101011,⊥⊥⊥⊥101011,10,6,4,6,60.0,False
10,28,1100001010,⊥⊥00⊥⊥⊥0⊥⊥,10,3,7,3,30.0,False
10,29,1010100000,⊥⊥⊥⊥⊥⊥⊥⊥⊥⊥,10,0,10,0,0.0,False
10,30,1101001010,1⊥⊥⊥00⊥01⊥,10,5,5,5,50.0,False
10,31,0011101001,001110100⊥,10,9,1,9,90.0,False
10,32,0101101011,0⊥0⊥⊥⊥1011,10,6,4,6,60.0,False
10,33,1100000111,⊥⊥00000111,10,8,2,8,80.0,False
10,34,0100011101,010⊥0111⊥1,10,8,2,8,80.0,False
10,35,1000011001,100001100⊥,10,9,1,9,90.0,False
10,36,1000000111,100⊥00⊥11⊥,10,7,3,7,70.0,False
10,37,0001101101,0⊥⊥1⊥0⊥⊥01,10,5,5,5,50.0,False
10,38,1011011111,1⊥⊥⊥0111⊥1,10,6,4,6,60.0,False
10,39,1110111011,⊥1⊥⊥⊥11⊥11,10,5,5,5,50.0,False
10,40,1000111010,10001⊥10⊥⊥,10,7,3,7,70.0,False
10,41,1011001100,⊥⊥⊥⊥⊥⊥⊥⊥⊥0,10,1,9,1,10.0,False
